person	./person/person11forward.jpg	dog
person	./person/person38forward.jpg	dog
person	./person/person7right.jpg	dog
person	./person/person50right.jpg	dog
person	./person/person45forward.jpg	dog
person	./person/person76forward.jpg	dog
person	./person/person54forward.jpg	dog
person	./person/person34back.jpg	dog
person	./person/person20forward.jpg	dog
person	./person/person55forward.jpg	dog
person	./person/person69forward.jpg	dog
person	./person/person127back.jpg	dog
person	./person/person23back.jpg	dog
person	./person/person64forward.jpg	dog
person	./person/person63forward.jpg	dog
dog	./dog/dog46left.jpg	person
dog	./dog/dog18forward.jpg	person
dog	./dog/dog147forward.jpg	person
dog	./dog/dog100forward.jpg	person
dog	./dog/dog137forward.jpg	person
dog	./dog/dog87right.jpg	person
dog	./dog/dog106left.jpg	person
dog	./dog/dog4back.jpg	person
dog	./dog/dog28forward.jpg	person
